[2025-07-25 23:28:17] Episode    1 | Reward:   359.75 | Makespan:   2.47 | LoadBalance: 0.921 | Success: 1.00 | Duration: 0.82s
[2025-07-25 23:28:17] Episode    2 | Reward:   333.92 | Makespan:   2.50 | LoadBalance: 0.951 | Success: 1.00 | Duration: 0.67s
[2025-07-25 23:28:18] Episode    3 | Reward:   261.13 | Makespan:   2.02 | LoadBalance: 0.938 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:19] Episode    4 | Reward:   296.46 | Makespan:   1.72 | LoadBalance: 0.956 | Success: 1.00 | Duration: 0.55s
[2025-07-25 23:28:19] Episode    5 | Reward:   303.14 | Makespan:   1.67 | LoadBalance: 0.932 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:20] Episode    6 | Reward:   296.22 | Makespan:   2.01 | LoadBalance: 0.951 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:20] Episode    7 | Reward:   267.70 | Makespan:   2.14 | LoadBalance: 0.950 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:28:21] Episode    8 | Reward:   223.37 | Makespan:   1.89 | LoadBalance: 0.916 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:28:22] Episode    9 | Reward:   283.18 | Makespan:   2.00 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:28:22] Episode   10 | Reward:   265.99 | Makespan:   2.16 | LoadBalance: 0.940 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:28:23] Episode   11 | Reward:   255.96 | Makespan:   2.17 | LoadBalance: 0.948 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:28:23] Episode   12 | Reward:   217.53 | Makespan:   1.76 | LoadBalance: 0.910 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:24] Episode   13 | Reward:   209.47 | Makespan:   2.02 | LoadBalance: 0.906 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:28:25] Episode   14 | Reward:   299.65 | Makespan:   1.90 | LoadBalance: 0.980 | Success: 1.00 | Duration: 0.66s
[2025-07-25 23:28:25] Episode   15 | Reward:   334.29 | Makespan:   1.96 | LoadBalance: 0.965 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:26] Episode   16 | Reward:   241.02 | Makespan:   2.06 | LoadBalance: 0.959 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:26] Episode   17 | Reward:   328.23 | Makespan:   2.28 | LoadBalance: 0.987 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:27] Episode   18 | Reward:   315.12 | Makespan:   1.94 | LoadBalance: 0.946 | Success: 1.00 | Duration: 0.63s
[2025-07-25 23:28:28] Episode   19 | Reward:   321.76 | Makespan:   1.89 | LoadBalance: 0.951 | Success: 1.00 | Duration: 0.61s
[2025-07-25 23:28:28] Episode   20 | Reward:   349.48 | Makespan:   2.33 | LoadBalance: 0.949 | Success: 1.00 | Duration: 0.68s
[2025-07-25 23:28:29] Episode   21 | Reward:   282.68 | Makespan:   2.25 | LoadBalance: 0.934 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:30] Episode   22 | Reward:   248.78 | Makespan:   1.72 | LoadBalance: 0.938 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:30] Episode   23 | Reward:   338.33 | Makespan:   2.55 | LoadBalance: 0.944 | Success: 1.00 | Duration: 0.69s
[2025-07-25 23:28:32] Episode   24 | Reward:   317.80 | Makespan:   1.87 | LoadBalance: 0.966 | Success: 1.00 | Duration: 1.39s
[2025-07-25 23:28:32] Episode   25 | Reward:   314.14 | Makespan:   2.46 | LoadBalance: 0.925 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:28:33] Episode   26 | Reward:   400.94 | Makespan:   1.94 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.64s
[2025-07-25 23:28:34] Episode   27 | Reward:   339.48 | Makespan:   1.86 | LoadBalance: 0.974 | Success: 1.00 | Duration: 0.58s
[2025-07-25 23:28:34] Episode   28 | Reward:   276.37 | Makespan:   1.85 | LoadBalance: 0.933 | Success: 1.00 | Duration: 0.57s
[2025-07-25 23:28:35] Episode   29 | Reward:   280.96 | Makespan:   2.37 | LoadBalance: 0.955 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:35] Episode   30 | Reward:   243.96 | Makespan:   1.63 | LoadBalance: 0.935 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:36] Episode   31 | Reward:   230.65 | Makespan:   1.97 | LoadBalance: 0.921 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:37] Episode   32 | Reward:   289.64 | Makespan:   1.91 | LoadBalance: 0.950 | Success: 1.00 | Duration: 0.60s
[2025-07-25 23:28:37] Episode   33 | Reward:   334.60 | Makespan:   1.89 | LoadBalance: 0.943 | Success: 1.00 | Duration: 0.65s
[2025-07-25 23:28:38] Episode   34 | Reward:   276.08 | Makespan:   2.12 | LoadBalance: 0.954 | Success: 1.00 | Duration: 0.62s
[2025-07-25 23:28:39] Episode   35 | Reward:   376.94 | Makespan:   2.23 | LoadBalance: 0.976 | Success: 1.00 | Duration: 0.71s
[2025-07-25 23:28:39] Episode   36 | Reward:   301.02 | Makespan:   2.14 | LoadBalance: 0.930 | Success: 1.00 | Duration: 0.59s
[2025-07-25 23:28:40] Episode   37 | Reward:   266.86 | Makespan:   1.65 | LoadBalance: 0.974 | Success: 1.00 | Duration: 0.56s
