[2025-07-25 19:23:16] Episode    1 | Reward:   172.22 | Makespan:   0.74 | LoadBalance: 0.989 | Success: 1.00 | Duration: 0.52s
[2025-07-25 19:23:16] Episode    2 | Reward:   160.42 | Makespan:   1.23 | LoadBalance: 1.019 | Success: 1.00 | Duration: 0.43s
[2025-07-25 19:23:17] Episode    3 | Reward:   215.76 | Makespan:   2.27 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.46s
[2025-07-25 19:23:17] Episode    4 | Reward:   115.07 | Makespan:   1.03 | LoadBalance: 0.984 | Success: 1.00 | Duration: 0.37s
[2025-07-25 19:23:17] Episode    5 | Reward:   180.11 | Makespan:   1.77 | LoadBalance: 1.001 | Success: 1.00 | Duration: 0.43s
[2025-07-25 19:23:18] Episode    6 | Reward:   182.29 | Makespan:   1.63 | LoadBalance: 1.016 | Success: 1.00 | Duration: 0.41s
[2025-07-25 19:23:18] Episode    7 | Reward:   188.09 | Makespan:   1.65 | LoadBalance: 1.029 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:19] Episode    8 | Reward:   172.05 | Makespan:   1.96 | LoadBalance: 0.996 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:19] Episode    9 | Reward:   251.09 | Makespan:   1.41 | LoadBalance: 1.061 | Success: 1.00 | Duration: 0.47s
[2025-07-25 19:23:19] Episode   10 | Reward:   152.07 | Makespan:   1.34 | LoadBalance: 1.016 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:20] Episode   11 | Reward:   184.31 | Makespan:   1.28 | LoadBalance: 1.032 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:20] Episode   12 | Reward:   181.33 | Makespan:   1.37 | LoadBalance: 1.015 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:21] Episode   13 | Reward:   206.86 | Makespan:   1.25 | LoadBalance: 1.016 | Success: 1.00 | Duration: 0.41s
[2025-07-25 19:23:21] Episode   14 | Reward:   178.50 | Makespan:   1.41 | LoadBalance: 1.052 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:22] Episode   15 | Reward:   159.49 | Makespan:   1.19 | LoadBalance: 1.058 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:22] Episode   16 | Reward:   147.57 | Makespan:   1.24 | LoadBalance: 0.988 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:22] Episode   17 | Reward:   199.69 | Makespan:   1.41 | LoadBalance: 1.037 | Success: 1.00 | Duration: 0.43s
[2025-07-25 19:23:23] Episode   18 | Reward:   213.21 | Makespan:   1.27 | LoadBalance: 1.030 | Success: 1.00 | Duration: 0.43s
[2025-07-25 19:23:23] Episode   19 | Reward:   128.92 | Makespan:   1.56 | LoadBalance: 0.995 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:24] Episode   20 | Reward:   184.74 | Makespan:   1.41 | LoadBalance: 1.062 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:25] Episode   21 | Reward:   149.63 | Makespan:   1.02 | LoadBalance: 1.018 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:25] Episode   22 | Reward:   183.32 | Makespan:   1.34 | LoadBalance: 0.956 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:25] Episode   23 | Reward:   164.34 | Makespan:   1.57 | LoadBalance: 1.025 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:26] Episode   24 | Reward:   176.75 | Makespan:   1.79 | LoadBalance: 1.011 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:26] Episode   25 | Reward:   173.42 | Makespan:   0.97 | LoadBalance: 1.040 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:27] Episode   26 | Reward:   208.85 | Makespan:   1.60 | LoadBalance: 1.003 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:27] Episode   27 | Reward:   208.31 | Makespan:   1.53 | LoadBalance: 1.038 | Success: 1.00 | Duration: 0.42s
[2025-07-25 19:23:27] Episode   28 | Reward:   180.40 | Makespan:   1.20 | LoadBalance: 1.028 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:28] Episode   29 | Reward:   154.19 | Makespan:   1.13 | LoadBalance: 1.010 | Success: 1.00 | Duration: 0.37s
[2025-07-25 19:23:28] Episode   30 | Reward:   207.11 | Makespan:   1.29 | LoadBalance: 1.059 | Success: 1.00 | Duration: 0.40s
[2025-07-25 19:23:29] Episode   31 | Reward:   157.36 | Makespan:   1.14 | LoadBalance: 1.030 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:29] Episode   32 | Reward:   167.64 | Makespan:   1.17 | LoadBalance: 1.017 | Success: 1.00 | Duration: 0.38s
[2025-07-25 19:23:29] Episode   33 | Reward:   244.06 | Makespan:   1.02 | LoadBalance: 1.033 | Success: 1.00 | Duration: 0.43s
[2025-07-25 19:23:30] Episode   34 | Reward:   179.27 | Makespan:   1.69 | LoadBalance: 1.013 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:30] Episode   35 | Reward:   178.85 | Makespan:   1.39 | LoadBalance: 0.990 | Success: 1.00 | Duration: 0.39s
[2025-07-25 19:23:30] Episode   36 | Reward:   170.21 | Makespan:   1.36 | LoadBalance: 1.022 | Success: 1.00 | Duration: 0.38s
