[2025-07-25 19:30:08] Episode    1 | Reward:   373.53 | Makespan:   1.99 | LoadBalance: 1.070 | Success: 1.00 | Duration: 0.91s
[2025-07-25 19:30:09] Episode    2 | Reward:   340.59 | Makespan:   1.89 | LoadBalance: 1.029 | Success: 1.00 | Duration: 0.67s
[2025-07-25 19:30:10] Episode    3 | Reward:   414.82 | Makespan:   2.48 | LoadBalance: 1.100 | Success: 1.00 | Duration: 0.80s
[2025-07-25 19:30:10] Episode    4 | Reward:   361.94 | Makespan:   2.00 | LoadBalance: 1.015 | Success: 1.00 | Duration: 0.70s
[2025-07-25 19:30:11] Episode    5 | Reward:   386.76 | Makespan:   2.19 | LoadBalance: 1.076 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:30:12] Episode    6 | Reward:   362.97 | Makespan:   2.22 | LoadBalance: 1.046 | Success: 1.00 | Duration: 0.68s
[2025-07-25 19:30:12] Episode    7 | Reward:   396.37 | Makespan:   2.04 | LoadBalance: 1.074 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:30:13] Episode    8 | Reward:   400.70 | Makespan:   2.32 | LoadBalance: 1.047 | Success: 1.00 | Duration: 0.74s
[2025-07-25 19:30:14] Episode    9 | Reward:   277.80 | Makespan:   1.64 | LoadBalance: 1.015 | Success: 1.00 | Duration: 0.65s
[2025-07-25 19:30:15] Episode   10 | Reward:   362.08 | Makespan:   2.71 | LoadBalance: 0.988 | Success: 1.00 | Duration: 0.73s
[2025-07-25 19:30:15] Episode   11 | Reward:   397.86 | Makespan:   2.03 | LoadBalance: 1.072 | Success: 1.00 | Duration: 0.70s
[2025-07-25 19:30:16] Episode   12 | Reward:   356.07 | Makespan:   1.83 | LoadBalance: 1.040 | Success: 1.00 | Duration: 0.69s
[2025-07-25 19:30:17] Episode   13 | Reward:   418.26 | Makespan:   2.13 | LoadBalance: 1.066 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:30:17] Episode   14 | Reward:   310.45 | Makespan:   1.72 | LoadBalance: 1.017 | Success: 1.00 | Duration: 0.66s
[2025-07-25 19:30:19] Episode   15 | Reward:   315.63 | Makespan:   2.08 | LoadBalance: 1.024 | Success: 1.00 | Duration: 1.20s
[2025-07-25 19:30:20] Episode   16 | Reward:   376.69 | Makespan:   2.22 | LoadBalance: 1.035 | Success: 1.00 | Duration: 1.08s
[2025-07-25 19:30:20] Episode   17 | Reward:   370.66 | Makespan:   2.25 | LoadBalance: 1.035 | Success: 1.00 | Duration: 0.72s
[2025-07-25 19:30:21] Episode   18 | Reward:   305.76 | Makespan:   2.13 | LoadBalance: 1.015 | Success: 1.00 | Duration: 0.63s
[2025-07-25 19:30:22] Episode   19 | Reward:   364.54 | Makespan:   2.20 | LoadBalance: 1.010 | Success: 1.00 | Duration: 0.63s
[2025-07-25 19:30:22] Episode   20 | Reward:   397.90 | Makespan:   1.99 | LoadBalance: 1.061 | Success: 1.00 | Duration: 0.65s
[2025-07-25 19:30:23] Episode   21 | Reward:   386.95 | Makespan:   2.38 | LoadBalance: 1.074 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:30:23] Episode   22 | Reward:   321.41 | Makespan:   2.02 | LoadBalance: 1.041 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:24] Episode   23 | Reward:   380.70 | Makespan:   1.79 | LoadBalance: 1.053 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:25] Episode   24 | Reward:   349.86 | Makespan:   1.95 | LoadBalance: 1.057 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:25] Episode   25 | Reward:   339.20 | Makespan:   1.76 | LoadBalance: 1.047 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:30:26] Episode   26 | Reward:   364.34 | Makespan:   2.36 | LoadBalance: 1.050 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:26] Episode   27 | Reward:   371.00 | Makespan:   2.17 | LoadBalance: 1.063 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:30:27] Episode   28 | Reward:   307.32 | Makespan:   1.77 | LoadBalance: 1.045 | Success: 1.00 | Duration: 0.51s
[2025-07-25 19:30:27] Episode   29 | Reward:   357.31 | Makespan:   1.86 | LoadBalance: 1.014 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:28] Episode   30 | Reward:   382.90 | Makespan:   2.03 | LoadBalance: 1.046 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:30:28] Episode   31 | Reward:   391.39 | Makespan:   2.55 | LoadBalance: 1.074 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:30:29] Episode   32 | Reward:   338.84 | Makespan:   2.12 | LoadBalance: 1.047 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:30] Episode   33 | Reward:   385.27 | Makespan:   2.61 | LoadBalance: 1.063 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:30:30] Episode   34 | Reward:   334.50 | Makespan:   1.55 | LoadBalance: 1.071 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:31] Episode   35 | Reward:   334.75 | Makespan:   1.87 | LoadBalance: 1.020 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:31] Episode   36 | Reward:   399.11 | Makespan:   2.59 | LoadBalance: 1.093 | Success: 1.00 | Duration: 0.60s
[2025-07-25 19:30:32] Episode   37 | Reward:   346.99 | Makespan:   1.52 | LoadBalance: 1.064 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:32] Episode   38 | Reward:   362.21 | Makespan:   2.46 | LoadBalance: 1.051 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:33] Episode   39 | Reward:   418.96 | Makespan:   2.36 | LoadBalance: 1.068 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:30:34] Episode   40 | Reward:   351.76 | Makespan:   2.25 | LoadBalance: 1.067 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:34] Episode   41 | Reward:   342.43 | Makespan:   2.07 | LoadBalance: 1.027 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:35] Episode   42 | Reward:   404.88 | Makespan:   2.10 | LoadBalance: 1.097 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:35] Episode   43 | Reward:   319.58 | Makespan:   1.93 | LoadBalance: 1.039 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:30:36] Episode   44 | Reward:   376.19 | Makespan:   2.32 | LoadBalance: 1.063 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:36] Episode   45 | Reward:   322.31 | Makespan:   2.01 | LoadBalance: 1.047 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:37] Episode   46 | Reward:   359.50 | Makespan:   2.08 | LoadBalance: 1.040 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:30:38] Episode   47 | Reward:   308.05 | Makespan:   1.79 | LoadBalance: 0.993 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:30:38] Episode   48 | Reward:   423.13 | Makespan:   1.86 | LoadBalance: 1.092 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:30:39] Episode   49 | Reward:   357.22 | Makespan:   1.92 | LoadBalance: 1.060 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:39] Episode   50 | Reward:   331.95 | Makespan:   1.77 | LoadBalance: 1.045 | Success: 1.00 | Duration: 0.54s
[2025-07-25 19:30:40] Episode   51 | Reward:   412.31 | Makespan:   2.48 | LoadBalance: 1.055 | Success: 1.00 | Duration: 0.61s
[2025-07-25 19:30:41] Episode   52 | Reward:   383.38 | Makespan:   2.32 | LoadBalance: 1.048 | Success: 1.00 | Duration: 0.58s
[2025-07-25 19:30:42] Episode   53 | Reward:   348.04 | Makespan:   1.93 | LoadBalance: 1.031 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:42] Episode   54 | Reward:   352.22 | Makespan:   2.06 | LoadBalance: 1.074 | Success: 1.00 | Duration: 0.55s
[2025-07-25 19:30:43] Episode   55 | Reward:   314.37 | Makespan:   1.65 | LoadBalance: 1.027 | Success: 1.00 | Duration: 0.53s
[2025-07-25 19:30:43] Episode   56 | Reward:   389.45 | Makespan:   1.74 | LoadBalance: 1.056 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:30:44] Episode   57 | Reward:   352.69 | Makespan:   2.09 | LoadBalance: 1.083 | Success: 1.00 | Duration: 0.56s
[2025-07-25 19:30:44] Episode   58 | Reward:   356.64 | Makespan:   2.17 | LoadBalance: 1.027 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:45] Episode   59 | Reward:   371.34 | Makespan:   1.98 | LoadBalance: 1.048 | Success: 1.00 | Duration: 0.57s
[2025-07-25 19:30:45] Episode   60 | Reward:   406.40 | Makespan:   1.88 | LoadBalance: 1.017 | Success: 1.00 | Duration: 0.59s
[2025-07-25 19:30:46] Episode   61 | Reward:   387.63 | Makespan:   2.41 | LoadBalance: 0.998 | Success: 1.00 | Duration: 0.61s
