episode,reward,makespan,load_balance,stability,td_error,meta_critic_loss,meta_actor_loss,fpga_critic_loss,fpga_actor_loss,fog_gpu_critic_loss,fog_gpu_actor_loss,cloud_critic_loss,cloud_actor_loss
1,1216.770339499304,2.197620148286918,1.9404385271547469,1.0,0.49642185370127356,1.3006248474121094,0.27194318175315857,0,0,0,0,0,0
2,1073.739123948756,2.0162135582846386,1.953201945957655,1.0,0.44486751655737555,1.109602928161621,0.43932661414146423,0,0,0,0,0,0
3,1209.8687130901644,2.0865366137186916,1.9643593762687748,1.0,0.42696852485338843,1.0860328674316406,0.42028260231018066,0,0,0,0,0,0
4,1267.9848054886206,1.9980806020615491,1.9477739182409068,1.0,0.48548275232315063,1.2758355140686035,0.2489182949066162,0,0,0,0,0,0
5,1193.363398292993,1.9748355779772773,1.9575516538189288,1.0,0.4723316580057144,1.2178215980529785,0.17905038595199585,0,0,0,0,0,0
6,1103.7229741868498,1.8375902205571224,1.9571820148112984,1.0,0.4358294059832891,1.1287649869918823,0.3045661449432373,0,0,0,0,0,0
7,1085.0931210778285,1.8833659100989637,1.9451124235876,1.0,0.504549485941728,1.4156709909439087,0.2166091650724411,0,0,0,0,0,0
8,1017.9040489790095,1.8677233255817227,1.9501450307134007,1.0,0.5195468068122864,1.367889642715454,0.5635533332824707,0,0,0,0,0,0
9,1164.8903627805882,2.1506859875843247,1.9524305061529765,0.9875950701538091,0.49012421568234765,1.2667162418365479,0.6181016564369202,0,0,0,0,0,0
10,1227.1153189741879,2.0976542022142515,1.9613252579687044,0.9890889726018319,0.4166385928789774,1.0390377044677734,0.46000373363494873,0,0,0,0,0,0
11,1090.3978239932926,2.014115179343018,1.9505335093802056,0.9865858026029789,0.46681572000185645,1.2613422870635986,0.3014828860759735,0,0,0,0,0,0
12,1117.9164020591786,2.0253496121423247,1.9442089177693513,0.9834096926836252,0.5197613934675852,1.3894933462142944,0.26506268978118896,0,0,0,0,0,0
13,1195.5664411014518,1.6572701644507197,1.9544204199691584,0.9743838664264064,0.47225790470838547,1.2374979257583618,0.832516610622406,0,0,0,0,0,0
14,1113.90190687642,2.00394609414376,1.9505643972070819,0.9778649749495474,0.4945199737946192,1.3125323057174683,0.2930217385292053,0,0,0,0,0,0
15,1165.7962629181827,1.9495520607499983,1.949553187958156,0.9795536786626802,0.49733381966749823,1.322540044784546,0.822386622428894,0,0,0,0,0,0
16,1214.8182573753625,1.76569446178658,1.9539886166934515,0.9798716587455444,0.4688611924648285,1.2203843593597412,0.045873671770095825,0,0,0,0,0,0
17,1159.0867332482474,1.6940408594420386,1.952163299395822,0.9805701330145293,0.40674733122189843,0.9810639023780823,0.4982799291610718,0,0,0,0,0,0
18,1260.237881797499,1.8016807730431936,1.9642500148834148,0.9797913798682764,0.4723340074221293,1.1815500259399414,0.3170914351940155,0,0,0,0,0,0
19,1151.746965125042,1.6895901793910726,1.9442766311696276,0.9764129008009721,0.45570267736911774,1.1719720363616943,0.14165499806404114,0,0,0,0,0,0
20,1262.0776419671845,1.9339470831118049,1.946161871547375,0.9754036760824097,0.4759751260280609,1.279974102973938,0.3184339106082916,0,0,0,0,0,0
21,1218.2944381701727,1.89417081703162,1.9587211263403397,0.9789565831641944,0.5021110673745474,1.253973364830017,0.37765681743621826,0,0,0,0,0,0
22,1213.8872271145776,2.0495745110929837,1.9467428539324914,0.9784032152200746,0.4721161971489588,1.2263548374176025,0.350919246673584,0,0,0,0,0,0
23,1365.5584490167516,2.2982228696006857,1.964176729662661,0.9619039190311495,0.5645948946475983,1.5526516437530518,0.2884811460971832,0,0,0,0,0,0
24,1150.9436750183286,2.0100233223208224,1.9590055289876678,0.954809269619655,0.4266004661719004,1.057626485824585,0.2420254498720169,0,0,0,0,0,0
25,1234.9765959291603,1.8456567801367272,1.9526927183777323,0.9560130815709948,0.48290595412254333,1.324730396270752,0.37642791867256165,0,0,0,0,0,0
