
================================================================================
Enhanced HD-DDPG Medical Workflow Scheduling Training Log
Training Start Time: 2025-09-10 14:02:28
Experiment Directory: optimized_model_result\hd_ddpg_enhanced_comm05
Training Mode: HIGH_PERFORMANCE_ENHANCED with Advanced Features
================================================================================
[2025-09-10 14:02:29] Ep    1 | R:  1113.02 | MS:   2.07 | SR: 0.50 | ST: 1.000 | LR: 0.000170 | T: 0.31s
[2025-09-10 14:02:30] Ep    2 | R:  1036.25 | MS:   3.22 | SR: 0.25 | ST: 1.000 | LR: 0.000170 | T: 0.28s
[2025-09-10 14:02:30] Ep    3 | R:   991.19 | MS:   2.18 | SR: 0.25 | ST: 1.000 | LR: 0.000170 | T: 0.29s
[2025-09-10 14:02:31] Ep    4 | R:  1009.33 | MS:   2.84 | SR: 0.00 | ST: 1.000 | LR: 0.000170 | T: 0.78s
[2025-09-10 14:02:31] Ep    5 | R:   994.70 | MS:   2.07 | SR: 0.50 | ST: 0.818 | LR: 0.000170 | T: 0.54s
[2025-09-10 14:02:32] Ep    6 | R:  1070.18 | MS:   1.82 | SR: 0.75 | ST: 0.804 | LR: 0.000170 | T: 0.53s
[2025-09-10 14:02:32] Ep    7 | R:  1284.04 | MS:   1.95 | SR: 0.75 | ST: 0.813 | LR: 0.000170 | T: 0.58s
[2025-09-10 14:02:33] Ep    8 | R:   880.53 | MS:   2.38 | SR: 0.25 | ST: 0.832 | LR: 0.000170 | T: 0.53s
[2025-09-10 14:02:33] Ep    9 | R:   697.98 | MS:   2.52 | SR: 0.00 | ST: 0.836 | LR: 0.000170 | T: 0.52s
[2025-09-10 14:02:34] Ep   10 | R:  1152.63 | MS:   2.05 | SR: 0.25 | ST: 0.910 | LR: 0.000170 | T: 0.69s
[2025-09-10 14:02:35] Ep   11 | R:   620.29 | MS:   4.12 | SR: 0.00 | ST: 0.893 | LR: 0.000170 | T: 0.56s
[2025-09-10 14:02:35] Ep   12 | R:  1106.47 | MS:   2.68 | SR: 0.00 | ST: 0.909 | LR: 0.000170 | T: 0.61s
[2025-09-10 14:02:36] Ep   13 | R:  1136.16 | MS:   3.10 | SR: 0.25 | ST: 0.858 | LR: 0.000170 | T: 0.75s
[2025-09-10 14:02:37] Ep   14 | R:  1349.59 | MS:   2.42 | SR: 0.25 | ST: 0.894 | LR: 0.000170 | T: 0.70s
[2025-09-10 14:02:37] Ep   15 | R:  1334.15 | MS:   1.95 | SR: 0.50 | ST: 0.894 | LR: 0.000170 | T: 0.72s
[2025-09-10 14:02:38] Ep   16 | R:   962.25 | MS:   2.23 | SR: 0.50 | ST: 0.889 | LR: 0.000170 | T: 0.63s
[2025-09-10 14:02:39] Ep   17 | R:  1711.74 | MS:   1.53 | SR: 0.50 | ST: 0.823 | LR: 0.000170 | T: 0.75s
[2025-09-10 14:02:39] Ep   18 | R:   689.80 | MS:   2.37 | SR: 0.50 | ST: 0.830 | LR: 0.000170 | T: 0.60s
[2025-09-10 14:02:40] Ep   19 | R:  1122.99 | MS:   1.74 | SR: 0.25 | ST: 0.814 | LR: 0.000170 | T: 0.69s
[2025-09-10 14:02:41] Ep   20 | R:  1264.29 | MS:   2.27 | SR: 0.50 | ST: 0.831 | LR: 0.000170 | T: 0.73s
