[2025-07-24 22:18:14] Episode    1 | Reward:    50.00 | Makespan:   2.59 | LoadBalance: 0.516 | Duration: 1.09s
[2025-07-24 22:18:15] Episode    2 | Reward:    50.00 | Makespan:   2.36 | LoadBalance: 0.514 | Duration: 0.78s
[2025-07-24 22:18:15] Episode    3 | Reward:    50.00 | Makespan:   1.91 | LoadBalance: 0.464 | Duration: 0.76s
[2025-07-24 22:18:16] Episode    4 | Reward:    50.00 | Makespan:   2.32 | LoadBalance: 0.504 | Duration: 0.68s
[2025-07-24 22:18:17] Episode    5 | Reward:    50.00 | Makespan:   2.29 | LoadBalance: 0.497 | Duration: 0.76s
[2025-07-24 22:18:18] Episode    6 | Reward:    50.00 | Makespan:   2.59 | LoadBalance: 0.489 | Duration: 0.75s
[2025-07-24 22:18:18] Episode    7 | Reward:    50.00 | Makespan:   2.75 | LoadBalance: 0.506 | Duration: 0.76s
[2025-07-24 22:18:19] Episode    8 | Reward:    50.00 | Makespan:   1.20 | LoadBalance: 0.507 | Duration: 0.59s
[2025-07-24 22:18:20] Episode    9 | Reward:    50.00 | Makespan:   2.47 | LoadBalance: 0.523 | Duration: 0.75s
[2025-07-24 22:18:20] Episode   10 | Reward:    50.00 | Makespan:   1.42 | LoadBalance: 0.483 | Duration: 0.60s
[2025-07-24 22:18:21] Episode   11 | Reward:    50.00 | Makespan:   1.82 | LoadBalance: 0.523 | Duration: 0.67s
[2025-07-24 22:18:22] Episode   12 | Reward:    50.00 | Makespan:   2.04 | LoadBalance: 0.515 | Duration: 0.67s
[2025-07-24 22:18:23] Episode   13 | Reward:    50.00 | Makespan:   2.41 | LoadBalance: 0.485 | Duration: 0.78s
[2025-07-24 22:18:23] Episode   14 | Reward:    50.00 | Makespan:   2.41 | LoadBalance: 0.473 | Duration: 0.74s
[2025-07-24 22:18:24] Episode   15 | Reward:    50.00 | Makespan:   2.36 | LoadBalance: 0.474 | Duration: 0.69s
[2025-07-24 22:18:25] Episode   16 | Reward:    50.00 | Makespan:   2.83 | LoadBalance: 0.452 | Duration: 0.81s
[2025-07-24 22:18:25] Episode   17 | Reward:    50.00 | Makespan:   1.36 | LoadBalance: 0.457 | Duration: 0.67s
[2025-07-24 22:18:26] Episode   18 | Reward:    50.00 | Makespan:   1.92 | LoadBalance: 0.493 | Duration: 0.73s
[2025-07-24 22:18:27] Episode   19 | Reward:    50.00 | Makespan:   1.58 | LoadBalance: 0.459 | Duration: 0.71s
[2025-07-24 22:18:28] Episode   20 | Reward:    50.00 | Makespan:   2.08 | LoadBalance: 0.469 | Duration: 0.75s
[2025-07-24 22:18:28] Episode   21 | Reward:    50.00 | Makespan:   2.22 | LoadBalance: 0.456 | Duration: 0.68s
[2025-07-24 22:18:29] Episode   22 | Reward:    50.00 | Makespan:   2.77 | LoadBalance: 0.551 | Duration: 0.88s
[2025-07-24 22:18:30] Episode   23 | Reward:    50.00 | Makespan:   1.92 | LoadBalance: 0.531 | Duration: 0.70s
[2025-07-24 22:18:31] Episode   24 | Reward:    50.00 | Makespan:   2.22 | LoadBalance: 0.460 | Duration: 0.66s
[2025-07-24 22:18:31] Episode   25 | Reward:    50.00 | Makespan:   2.04 | LoadBalance: 0.493 | Duration: 0.72s
[2025-07-24 22:18:32] Episode   26 | Reward:    50.00 | Makespan:   2.48 | LoadBalance: 0.491 | Duration: 0.76s
